Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Club,2.92,2.77,,F51,U20,Female,WC,3/17/1999,1/23/2014,397g,,FieldF51U20FemaleClub,FieldClubF51,FieldClubF51U20Female
Field,Club,6.08,5.77,,F51,U20,Male,WC,3/17/1999,1/23/2014,397g,,FieldF51U20MaleClub,FieldClubF51,FieldClubF51U20Male
Field,Club,3.12,2.96,,F51,U23,Female,WC,2/22/2001,1/23/2014,397g,,FieldF51U23FemaleClub,FieldClubF51,FieldClubF51U23Female
Field,Club,6.48,6.15,,F51,U23,Male,WC,2/22/2001,1/23/2014,397g,,FieldF51U23MaleClub,FieldClubF51,FieldClubF51U23Male
Field,Discus,3.54,3.36,,F11,Adults,Female,BA,12/6/2011,1/23/2012,1K,,FieldF11AdultsFemaleDiscus,FieldDiscusF11,FieldDiscusF11AdultsFemale
Field,Discus,4.72,4.48,,F11,Adults,Male,BA,12/6/2011,1/23/2012,2K,,FieldF11AdultsMaleDiscus,FieldDiscusF11,FieldDiscusF11AdultsMale
Field,Discus,3.25,3.08,,F11,M35,Female,BA,12/6/2011,8/18/2013,1K,,FieldF11M35FemaleDiscus,FieldDiscusF11,FieldDiscusF11M35Female
Field,Discus,4.13,3.92,,F11,M35,Male,BA,12/6/2011,8/18/2013,1.75K,,FieldF11M35MaleDiscus,FieldDiscusF11,FieldDiscusF11M35Male
Field,Discus,3.25,3.08,,F11,M50,Female,BA,12/6/2011,1/26/2016,.75K,,FieldF11M50FemaleDiscus,FieldDiscusF11,FieldDiscusF11M50Female
Field,Discus,4.13,3.92,,F11,M50,Male,BA,12/6/2011,1/26/2016,1.5K,,FieldF11M50MaleDiscus,FieldDiscusF11,FieldDiscusF11M50Male
Field,Discus,3.25,3.08,,F11,M60,Female,BA,12/6/2011,1/26/2016,.75K,,FieldF11M60FemaleDiscus,FieldDiscusF11,FieldDiscusF11M60Female
Field,Discus,4.13,3.92,,F11,M60,Male,BA,12/6/2011,1/26/2016,1K,,FieldF11M60MaleDiscus,FieldDiscusF11,FieldDiscusF11M60Male
Field,Discus,4.6,4.37,,F11,U11,Female,BA,6/15/2004,1/23/2014,.75K,,FieldF11U11FemaleDiscus,FieldDiscusF11,FieldDiscusF11U11Female
