Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Event_Group,C_Event,ID
Track,800 Meters,00:00.0,00:00.0,No Race,T61,U11,Female,DS,,2/11/2018,TrackT61U11Female800 Meters,Track800 MetersT61,Track800 MetersT61U11Female
Track,800 Meters,02:33.0,02:41.0,,T54,U23,Male,WC,,2/7/2016,TrackT54U23Male800 Meters,Track800 MetersT54,Track800 MetersT54U23Male
Track,800 Meters,03:12.0,03:22.0,,T54,U23,Female,WC,,2/7/2016,TrackT54U23Female800 Meters,Track800 MetersT54,Track800 MetersT54U23Female
Track,800 Meters,02:48.0,02:57.0,,T54,U20,Male,WC,,2/7/2016,TrackT54U20Male800 Meters,Track800 MetersT54,Track800 MetersT54U20Male
Track,800 Meters,03:31.0,03:42.0,,T54,U20,Female,WC,,2/7/2016,TrackT54U20Female800 Meters,Track800 MetersT54,Track800 MetersT54U20Female
Track,800 Meters,03:19.0,03:29.0,,T54,U17,Male,WC,,11/25/2018,TrackT54U17Male800 Meters,Track800 MetersT54,Track800 MetersT54U17Male
Track,800 Meters,04:10.0,04:22.0,,T54,U17,Female,WC,,2/7/2016,TrackT54U17Female800 Meters,Track800 MetersT54,Track800 MetersT54U17Female
Track,800 Meters,03:34.0,03:45.0,,T54,U14,Male,WC,,2/7/2016,TrackT54U14Male800 Meters,Track800 MetersT54,Track800 MetersT54U14Male
Track,800 Meters,04:29.0,04:42.0,,T54,U14,Female,WC,,2/7/2016,TrackT54U14Female800 Meters,Track800 MetersT54,Track800 MetersT54U14Female
Track,800 Meters,03:49.0,04:01.0,,T54,U11,Male,WC,,2/7/2016,TrackT54U11Male800 Meters,Track800 MetersT54,Track800 MetersT54U11Male
Track,800 Meters,04:48.0,05:02.0,,T54,U11,Female,WC,,2/7/2016,TrackT54U11Female800 Meters,Track800 MetersT54,Track800 MetersT54U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M60,Male,WC,1/27/2014,1/27/2014,TrackT54M60Male800 Meters,Track800 MetersT54,Track800 MetersT54M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M60,Female,WC,1/27/2014,1/27/2014,TrackT54M60Female800 Meters,Track800 MetersT54,Track800 MetersT54M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M50,Male,WC,1/27/2014,1/27/2014,TrackT54M50Male800 Meters,Track800 MetersT54,Track800 MetersT54M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M50,Female,WC,1/27/2014,1/27/2014,TrackT54M50Female800 Meters,Track800 MetersT54,Track800 MetersT54M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M35,Male,WC,1/27/2014,1/27/2014,TrackT54M35Male800 Meters,Track800 MetersT54,Track800 MetersT54M35Male
